g,0.3,0.45,0.6,0.75
2,-0.258449,-0.267162,-0.276464,-0.287205
3,-0.272112,-0.284595,-0.298601,-0.337227
4,-0.279168,-0.293819,-0.311043,-0.362858
6,-0.286395,-0.303455,-0.331026,-0.378709
10,-0.29231,-0.311508,-0.347321,-0.385975
