delta,0.0,0.25,0.5,0.75,1.0
0.0,-0.48963,-0.390098,-0.299333,-0.225183,-0.169979
0.2,-0.562017,-0.468552,-0.375561,-0.293941,-0.229295
0.4,-0.61841,-0.537506,-0.449761,-0.366681,-0.296159
0.6,-0.66016,-0.594845,-0.518163,-0.440004,-0.368738
0.8,-0.689897,-0.639862,-0.576781,-0.507868,-0.440386
